0.5538015	0.5651561	0.1104045	0.1736081	0.1496822	0.1362484	0.1495624
0.5538015	0.5651561	0.1104045	0.1736081	0.1496822	0.1362484	0.1495624
0.5538015	0.5651561	0.1104045	0.1736081	0.1496822	0.1362484	0.1495624
0.5538015	0.5651561	0.1104045	0.1736081	0.1496822	0.1362484	0.1495624
0.6828421	0.6736816	0.2626494	0.3541281	0.2825105	0.2988838	0.2718441
0.7357693	0.7246670	0.1564184	0.3871948	0.3597146	0.3205790	0.2653623
0.7473451	0.7254657	0.1410072	0.4089021	0.4155863	0.3087151	0.2551567
0.7468687	0.7254720	0.1413848	0.4087627	0.4148419	0.3095226	0.2554978
0.7611471	0.7242755	0.1513336	0.4495441	0.3812598	0.4096128	0.3261313
0.7728009	0.7367584	0.1481241	0.4631893	0.4300644	0.3762378	0.2930749
0.7694908	0.7264161	0.1497874	0.4584107	0.3956973	0.4060162	0.3089356
0.7739874	0.7502245	0.1465788	0.4711926	0.4518836	0.3602072	0.2882233
0.8261995	0.8234092	0.1765759	0.6378530	0.4449194	0.3904830	0.6723127
0.8839864	0.8709340	0.1810561	0.7039535	0.5295054	0.6404472	0.5220800
0.9084065	0.9031099	0.1923303	0.7705058	0.5407475	0.5732689	0.7465271
0.9279135	0.9310023	0.1978010	0.8969649	0.7956176	0.7141128	0.6322559
